date,index_name,close
2026-03-30,機電類指數,11116.78
2026-03-30,水泥類指數,118.9
2026-03-30,食品類指數,1937.27
2026-03-30,塑膠類指數,194.04
2026-03-30,紡織纖維類指數,463.49
2026-03-30,電機機械類指數,450.91
2026-03-30,電器電纜類指數,94.5
2026-03-30,化學生技醫療類指數,128.56
2026-03-30,化學類指數,169.41
2026-03-30,生技醫療類指數,68.54
2026-03-30,玻璃陶瓷類指數,127.0
2026-03-30,造紙類指數,271.87
2026-03-30,鋼鐵類指數,116.87
2026-03-30,橡膠類指數,194.81
2026-03-30,汽車類指數,286.33
2026-03-30,電子工業類指數,2013.01
2026-03-30,半導體類指數,1058.08
2026-03-30,電腦及週邊設備類指數,306.08
2026-03-30,光電類指數,41.97
2026-03-30,通信網路類指數,212.17
2026-03-30,電子零組件類指數,596.25
2026-03-30,電子通路類指數,319.55
2026-03-30,資訊服務類指數,186.47
2026-03-30,其他電子類指數,215.16
2026-03-30,建材營造類指數,456.59
2026-03-30,航運類指數,178.27
2026-03-30,觀光餐旅類指數,102.58
2026-03-30,金融保險類指數,2390.11
2026-03-30,貿易百貨類指數,232.05
2026-03-30,油電燃氣類指數,78.64
2026-03-30,綠能環保類指數,106.91
2026-03-30,數位雲端類指數,34.99
2026-03-30,運動休閒類指數,59.43
2026-03-30,居家生活類指數,95.87
2026-03-30,其他類指數,266.77
2026-03-27,發行量加權股價指數,33112.59
2026-03-27,水泥窯製類指數,596.75
2026-03-27,塑膠化工類指數,700.43
2026-03-27,機電類指數,11357.29
2026-03-27,水泥類指數,118.84
2026-03-27,食品類指數,1942.92
2026-03-27,塑膠類指數,180.44
2026-03-27,紡織纖維類指數,469.15
2026-03-27,電機機械類指數,453.23
2026-03-27,電器電纜類指數,95.25
2026-03-27,化學生技醫療類指數,131.05
2026-03-27,化學類指數,170.54
2026-03-27,生技醫療類指數,70.34
2026-03-27,玻璃陶瓷類指數,128.35
2026-03-27,造紙類指數,264.18
2026-03-27,鋼鐵類指數,118.52
2026-03-27,橡膠類指數,190.58
2026-03-27,汽車類指數,287.33
2026-03-27,電子工業類指數,2057.24
2026-03-27,半導體類指數,1082.12
2026-03-27,電腦及週邊設備類指數,313.65
2026-03-27,光電類指數,42.69
2026-03-27,通信網路類指數,214.16
2026-03-27,電子零組件類指數,609.58
2026-03-27,電子通路類指數,326.63
2026-03-27,資訊服務類指數,188.27
2026-03-27,其他電子類指數,219.31
2026-03-27,建材營造類指數,463.2
2026-03-27,航運類指數,177.39
2026-03-27,觀光餐旅類指數,103.32
2026-03-27,金融保險類指數,2423.05
2026-03-27,貿易百貨類指數,232.22
2026-03-27,油電燃氣類指數,78.71
2026-03-27,綠能環保類指數,108.18
2026-03-27,數位雲端類指數,35.04
2026-03-27,運動休閒類指數,60.35
2026-03-27,居家生活類指數,98.0
2026-03-27,其他類指數,269.72
2026-03-26,發行量加權股價指數,33337.62
2026-03-26,水泥窯製類指數,591.34
2026-03-26,塑膠化工類指數,703.35
2026-03-26,機電類指數,11447.39
2026-03-26,水泥類指數,118.87
2026-03-26,食品類指數,1932.32
2026-03-26,塑膠類指數,182.28
2026-03-26,紡織纖維類指數,469.83
2026-03-26,電機機械類指數,458.18
2026-03-26,電器電纜類指數,96.25
2026-03-26,化學生技醫療類指數,131.07
2026-03-26,化學類指數,168.6
2026-03-26,生技醫療類指數,70.78
2026-03-26,玻璃陶瓷類指數,124.84
2026-03-26,造紙類指數,258.83
2026-03-26,鋼鐵類指數,119.15
2026-03-26,橡膠類指數,189.21
2026-03-26,汽車類指數,289.85
2026-03-26,電子工業類指數,2073.43
2026-03-26,半導體類指數,1094.29
2026-03-26,電腦及週邊設備類指數,316.2
2026-03-26,光電類指數,42.9
2026-03-26,通信網路類指數,213.79
2026-03-26,電子零組件類指數,606.36
2026-03-26,電子通路類指數,328.71
2026-03-26,資訊服務類指數,188.64
2026-03-26,其他電子類指數,220.2
2026-03-26,建材營造類指數,464.03
2026-03-26,航運類指數,178.26
2026-03-26,觀光餐旅類指數,103.72
2026-03-26,金融保險類指數,2432.59
2026-03-26,貿易百貨類指數,230.25
2026-03-26,油電燃氣類指數,77.9
2026-03-26,綠能環保類指數,107.64
2026-03-26,數位雲端類指數,35.06
2026-03-26,運動休閒類指數,60.38
2026-03-26,居家生活類指數,97.3
2026-03-26,其他類指數,268.47
2026-03-25,發行量加權股價指數,33439.11
2026-03-25,水泥窯製類指數,595.76
2026-03-25,塑膠化工類指數,702.12
2026-03-25,機電類指數,11485.9
2026-03-25,水泥類指數,119.26
2026-03-25,食品類指數,1917.5
2026-03-25,塑膠類指數,179.3
2026-03-25,紡織纖維類指數,472.68
2026-03-25,電機機械類指數,462.31
2026-03-25,電器電纜類指數,97.82
2026-03-25,化學生技醫療類指數,132.87
2026-03-25,化學類指數,170.83
2026-03-25,生技醫療類指數,71.77
2026-03-25,玻璃陶瓷類指數,126.82
2026-03-25,造紙類指數,247.1
2026-03-25,鋼鐵類指數,118.98
2026-03-25,橡膠類指數,187.19
2026-03-25,汽車類指數,287.96
2026-03-25,電子工業類指數,2080.12
2026-03-25,半導體類指數,1098.56
2026-03-25,電腦及週邊設備類指數,314.72
2026-03-25,光電類指數,43.18
2026-03-25,通信網路類指數,215.4
2026-03-25,電子零組件類指數,606.85
2026-03-25,電子通路類指數,335.82
2026-03-25,資訊服務類指數,191.09
2026-03-25,其他電子類指數,220.72
2026-03-25,建材營造類指數,467.77
2026-03-25,航運類指數,180.81
2026-03-25,觀光餐旅類指數,104.27
2026-03-25,金融保險類指數,2440.78
2026-03-25,貿易百貨類指數,227.27
2026-03-25,油電燃氣類指數,76.35
2026-03-25,綠能環保類指數,109.08
2026-03-25,數位雲端類指數,35.08
2026-03-25,運動休閒類指數,60.67
2026-03-25,居家生活類指數,98.36
2026-03-25,其他類指數,267.75
2026-03-24,發行量加權股價指數,32612.24
2026-03-24,水泥窯製類指數,584.45
2026-03-24,塑膠化工類指數,691.74
2026-03-24,機電類指數,11169.77
2026-03-24,水泥類指數,118.22
2026-03-24,食品類指數,1902.78
2026-03-24,塑膠類指數,175.59
2026-03-24,紡織纖維類指數,473.66
2026-03-24,電機機械類指數,445.79
2026-03-24,電器電纜類指數,94.67
2026-03-24,化學生技醫療類指數,131.11
2026-03-24,化學類指數,168.73
2026-03-24,生技醫療類指數,70.78
2026-03-24,玻璃陶瓷類指數,121.83
2026-03-24,造紙類指數,244.81
2026-03-24,鋼鐵類指數,118.42
2026-03-24,橡膠類指數,189.32
2026-03-24,汽車類指數,281.52
2026-03-24,電子工業類指數,2023.2
2026-03-24,半導體類指數,1075.93
2026-03-24,電腦及週邊設備類指數,309.27
2026-03-24,光電類指數,42.09
2026-03-24,通信網路類指數,207.26
2026-03-24,電子零組件類指數,568.1
2026-03-24,電子通路類指數,326.86
2026-03-24,資訊服務類指數,190.08
2026-03-24,其他電子類指數,212.97
2026-03-24,建材營造類指數,459.51
2026-03-24,航運類指數,177.58
2026-03-24,觀光餐旅類指數,103.33
2026-03-24,金融保險類指數,2404.54
2026-03-24,貿易百貨類指數,226.43
2026-03-24,油電燃氣類指數,77.07
2026-03-24,綠能環保類指數,105.83
2026-03-24,數位雲端類指數,34.61
2026-03-24,運動休閒類指數,60.33
2026-03-24,居家生活類指數,105.24
2026-03-24,其他類指數,263.81
2026-03-23,發行量加權股價指數,32722.5
2026-03-23,水泥窯製類指數,584.5
2026-03-23,塑膠化工類指數,695.56
2026-03-23,機電類指數,11226.64
2026-03-23,水泥類指數,118.12
2026-03-23,食品類指數,1894.42
2026-03-23,塑膠類指數,177.57
2026-03-23,紡織纖維類指數,474.78
2026-03-23,電機機械類指數,448.62
2026-03-23,電器電纜類指數,94.69
2026-03-23,化學生技醫療類指數,131.46
2026-03-23,化學類指數,169.91
2026-03-23,生技醫療類指數,70.81
2026-03-23,玻璃陶瓷類指數,122.06
2026-03-23,造紙類指數,242.12
2026-03-23,鋼鐵類指數,117.57
2026-03-23,橡膠類指數,187.35
2026-03-23,汽車類指數,280.46
2026-03-23,電子工業類指數,2033.49
2026-03-23,半導體類指數,1079.65
2026-03-23,電腦及週邊設備類指數,309.1
2026-03-23,光電類指數,42.46
2026-03-23,通信網路類指數,207.69
2026-03-23,電子零組件類指數,577.78
2026-03-23,電子通路類指數,330.55
2026-03-23,資訊服務類指數,190.85
2026-03-23,其他電子類指數,214.3
2026-03-23,建材營造類指數,458.11
2026-03-23,航運類指數,177.27
2026-03-23,觀光餐旅類指數,102.18
2026-03-23,金融保險類指數,2387.18
2026-03-23,貿易百貨類指數,222.8
2026-03-23,油電燃氣類指數,76.77
2026-03-23,綠能環保類指數,105.82
2026-03-23,數位雲端類指數,34.57
2026-03-23,運動休閒類指數,60.8
2026-03-23,居家生活類指數,104.14
2026-03-23,其他類指數,262.6
2026-03-20,發行量加權股價指數,33543.88
2026-03-20,水泥窯製類指數,613.49
2026-03-20,塑膠化工類指數,725.01
2026-03-20,機電類指數,11516.86
2026-03-20,水泥類指數,120.91
2026-03-20,食品類指數,1913.42
2026-03-20,塑膠類指數,186.77
2026-03-20,紡織纖維類指數,486.66
2026-03-20,電機機械類指數,463.3
2026-03-20,電器電纜類指數,98.33
2026-03-20,化學生技醫療類指數,136.37
2026-03-20,化學類指數,176.52
2026-03-20,生技醫療類指數,73.4
2026-03-20,玻璃陶瓷類指數,134.63
2026-03-20,造紙類指數,236.87
2026-03-20,鋼鐵類指數,119.84
2026-03-20,橡膠類指數,190.54
2026-03-20,汽車類指數,285.21
2026-03-20,電子工業類指數,2085.73
2026-03-20,半導體類指數,1103.4
2026-03-20,電腦及週邊設備類指數,317.96
2026-03-20,光電類指數,44.46
2026-03-20,通信網路類指數,211.49
2026-03-20,電子零組件類指數,601.33
2026-03-20,電子通路類指數,340.83
2026-03-20,資訊服務類指數,196.29
2026-03-20,其他電子類指數,221.33
2026-03-20,建材營造類指數,467.18
2026-03-20,航運類指數,183.23
2026-03-20,觀光餐旅類指數,103.81
2026-03-20,金融保險類指數,2423.6
2026-03-20,貿易百貨類指數,229.08
2026-03-20,油電燃氣類指數,78.41
2026-03-20,綠能環保類指數,109.1
2026-03-20,數位雲端類指數,34.98
2026-03-20,運動休閒類指數,60.86
2026-03-20,居家生活類指數,105.5
2026-03-20,其他類指數,266.45
2026-03-19,發行量加權股價指數,33689.68
2026-03-19,水泥窯製類指數,625.58
2026-03-19,塑膠化工類指數,740.51
2026-03-19,機電類指數,11574.48
2026-03-19,水泥類指數,121.04
2026-03-19,食品類指數,1916.51
2026-03-19,塑膠類指數,194.36
2026-03-19,紡織纖維類指數,493.77
2026-03-19,電機機械類指數,469.31
2026-03-19,電器電纜類指數,99.17
2026-03-19,化學生技醫療類指數,137.37
2026-03-19,化學類指數,176.24
2026-03-19,生技醫療類指數,74.28
2026-03-19,玻璃陶瓷類指數,142.06
2026-03-19,造紙類指數,236.16
2026-03-19,鋼鐵類指數,117.55
2026-03-19,橡膠類指數,189.29
2026-03-19,汽車類指數,282.29
2026-03-19,電子工業類指數,2095.85
2026-03-19,半導體類指數,1110.03
2026-03-19,電腦及週邊設備類指數,316.88
2026-03-19,光電類指數,44.8
2026-03-19,通信網路類指數,210.89
2026-03-19,電子零組件類指數,605.13
2026-03-19,電子通路類指數,342.74
2026-03-19,資訊服務類指數,197.13
2026-03-19,其他電子類指數,221.67
2026-03-19,建材營造類指數,461.39
2026-03-19,航運類指數,184.59
2026-03-19,觀光餐旅類指數,103.47
2026-03-19,金融保險類指數,2413.35
2026-03-19,貿易百貨類指數,227.64
2026-03-19,油電燃氣類指數,80.04
2026-03-19,綠能環保類指數,109.66
2026-03-19,數位雲端類指數,35.02
2026-03-19,運動休閒類指數,60.49
2026-03-19,居家生活類指數,105.46
2026-03-19,其他類指數,265.97
2026-03-18,發行量加權股價指數,34348.58
2026-03-18,水泥窯製類指數,642.75
2026-03-18,塑膠化工類指數,749.52
2026-03-18,機電類指數,11813.41
2026-03-18,水泥類指數,123.33
2026-03-18,食品類指數,1939.93
2026-03-18,塑膠類指數,194.08
2026-03-18,紡織纖維類指數,502.22
2026-03-18,電機機械類指數,478.09
2026-03-18,電器電纜類指數,102.77
2026-03-18,化學生技醫療類指數,141.13
2026-03-18,化學類指數,174.42
2026-03-18,生技醫療類指數,77.76
2026-03-18,玻璃陶瓷類指數,148.14
2026-03-18,造紙類指數,239.5
2026-03-18,鋼鐵類指數,120.05
2026-03-18,橡膠類指數,189.19
2026-03-18,汽車類指數,288.37
2026-03-18,電子工業類指數,2139.08
2026-03-18,半導體類指數,1141.5
2026-03-18,電腦及週邊設備類指數,319.05
2026-03-18,光電類指數,45.54
2026-03-18,通信網路類指數,212.46
2026-03-18,電子零組件類指數,601.04
2026-03-18,電子通路類指數,348.05
2026-03-18,資訊服務類指數,200.63
2026-03-18,其他電子類指數,224.62
2026-03-18,建材營造類指數,467.61
2026-03-18,航運類指數,187.03
2026-03-18,觀光餐旅類指數,104.27
2026-03-18,金融保險類指數,2451.8
2026-03-18,貿易百貨類指數,232.11
2026-03-18,油電燃氣類指數,79.32
2026-03-18,綠能環保類指數,110.9
2026-03-18,數位雲端類指數,35.65
2026-03-18,運動休閒類指數,62.21
2026-03-18,居家生活類指數,108.12
2026-03-18,其他類指數,268.77
2026-03-17,發行量加權股價指數,33836.57
2026-03-17,水泥窯製類指數,634.62
2026-03-17,塑膠化工類指數,742.58
2026-03-17,機電類指數,11601.59
2026-03-17,水泥類指數,123.18
2026-03-17,食品類指數,1928.34
2026-03-17,塑膠類指數,191.16
2026-03-17,紡織纖維類指數,492.97
2026-03-17,電機機械類指數,471.79
